geo_point_2d;Numéro ID inspection;Nom de l'installation;Commune;Code Département;Code Postal;Code NAF;SIRET;Code Régime;Libellé Régime;Directive IPPC;Code Seveso;Statut Seveso;Code Famille;Libellé Famille;Fiche URL du site;Précision des coordonnées;Code INSEE;EPCI;Département;Région
47.8097173815,7.5363181605;67.513;BUTACHIMIE;OTTMARSHEIM;68;68490;70.10Z;30152346000055;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=513;Coordonnées précises;68020;CA Mulhouse Alsace Agglomération;HAUT-RHIN;GRAND EST
45.460780635,6.29484726634;107.305;LANXESS EPIERRE SAS;EPIERRE;73;73220;20.14Z;79501485100013;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=107&champEtablNumero=305;Coordonnées précises;73109;CC Porte de Maurienne;SAVOIE;AUVERGNE-RHONE-ALPES
49.140648053,6.70936281467;62.1792;ARKEMA;ST AVOLD;57;57500;20.14Z;31963279000543;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=1792;Coordonnées précises;57606;CA Saint-Avold Synergie;MOSELLE;GRAND EST
49.2054910504,6.18508117316;62.1353;LORCA;HAUCONCOURT;57;57280;;77561905900014;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=62&champEtablNumero=1353;Coordonnées précises;57303;CC Rives de Moselle;MOSELLE;GRAND EST
49.4880828756,0.238818531369;58.297;TOTAL RAFFINAGE FRANCE;GONFREVILLE L ORCHER;76;76700;19.20Z;54203492100123;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=58&champEtablNumero=297;Coordonnées précises;76305;CU Le Havre Seine Métropole;SEINE-MARITIME;NORMANDIE
45.3603513404,4.79524566078;61.5223;ADISSEO FRANCE SAS;SALAISE SUR SANNE;38;38150;20.14Z;43943656900057;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=61&champEtablNumero=5223;Coordonnées précises;38344;CC Entre Bièvre et Rhône;ISERE;AUVERGNE-RHONE-ALPES
48.4531104505,1.23201770554;100.379;SCAEL;COURVILLE SUR EURE;28;28190;70.10Z;77557501200015;A;Autorisation;Non soumis à la directive IPPC;SB;Seveso seuil bas;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=100&champEtablNumero=379;Coordonnées précises;28116;CC Entre Beauce et Perche;EURE-ET-LOIR;CENTRE-VAL DE LOIRE
43.7752765641,2.09590188202;68.2305;SAS EPC FRANCE;MONTDRAGON;81;81440;;72300184800255;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2305;Coordonnées précises;81174;CC du Lautrécois et du Pays d'Agout;TARN;OCCITANIE
43.3964340935,5.01569378899;64.947;GAZECHIM;MARTIGUES;13;13117;20.11Z;54292008700096;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=64&champEtablNumero=947;Valeur Initiale;13056;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
43.161883476,0.96210942692;68.2542;ANTARGAZ;BOUSSENS;31;31360;46.71Z;57212604300437;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=68&champEtablNumero=2542;Coordonnées précises;31084;CC Coeur de Garonne;HAUTE-GARONNE;OCCITANIE
50.5184777992,2.6476729599;70.2548;SI GROUP-BETHUNE;BETHUNE;62;62404;20.16Z;36320028800019;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=2548;Centroïde Commune;62119;CA de Béthune-Bruay, Artois-Lys Romane;PAS-DE-CALAIS;HAUTS-DE-FRANCE
50.6017844179,2.98080682552;70.1642;QUARON;HAUBOURDIN;59;59320;46.75Z;30125287000136;S;Autorisation avec servitudes;Non soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=70&champEtablNumero=1642;Coordonnées précises;59286;Métropole Européenne de Lille;NORD;HAUTS-DE-FRANCE
47.8061857039,7.11304711768;67.653;CRISTAL FRANCE SAS;THANN;68;68800;20.12Z;44014030900012;S;Autorisation avec servitudes;Soumis à la directive IPPC;AS;Seveso seuil haut;IN;Industries;http://www.installationsclassees.developpement-durable.gouv.fr/ficheEtablissement.php?champEtablBase=67&champEtablNumero=653;Coordonnées précises;68334;CC de Thann-Cernay;HAUT-RHIN;GRAND EST
